Code,Name,Stock,Price,PromoPrice
1007332,POWER STEERING RACK NISSAN MURANO 2002 Z50 (LHD) (FROTIS),20,1800,0
1009560,POWER STEERING RACK YARIS 2005 NCP90 (LHD)(FROTIS),0,580,0
1009565,POWER STEERING RACK HONDA CRV 2009 RE7 (LHD)(FROTIS),0,720,0
1009566,POWER STEERING RACK HILUX 2015 (LHD)(FROTISE),0,1800,0
1018196,POWER STEERING RACK FORD RANGER 2013 T6(LHD)(FROTISE),5,2600,0
1018322,POWER STEERING RACK ASSY (LHD) HILUX REVO 2015 4WD(FROTISE),24,1850,0
1015720,POWER STEERING RACK ASSY LHD COROLLA 2009 S.A.ZRE152 (FROTISE),0,930,0
1015721,POWER STEERING RACK ASSY LHD HIGHLANDER 2008 GSU45 FROTIS,0,1045,0
1015722,POWER STEERING RACK ASSY LHD SPRINTER 95 (FROTISE),0,1700,0
1015723,POWER STEERING RACK ASSY (LHD) SPRINTER CDI 2006 FROTIS,19,2700,0
1018436,POWER STEERING RACK (LHD)OUTLANDER 2013 GF7W (FROTIS),23,950,0
1018437,POWER STEERING RACK (LHD)HIACE FISH LH113 (FROTIS),0,620,0
1018438,POWER STEERING RACK (LHD)VENZA AGV10 (FROTIS),15,1150,0
1019734,POWER STEERING RACK MERCEDES-BENZ ML 2005 (LHD)£¨FROTIS£©,0,1300,0
1020028,POWER STEERING RACK HYUNDAI IX35 2009 GEAR TYPE (LHD)(FROTISE),9,990,0
1018748,POWER STEERING RACK HONDA RIDGELINE 2014 (LHD) (FROTISE),0,3800,0
1019063,POWER STEERING RACK ASSY (LHD) HYUNDAI SANTA FE 2013 (FROTISE),0,980,0
1019153,POWER STEERING RACK ASSY (LHD) HIGHLANDER 2004 ACU25(FROTISE),0,1450,0
1019155,POWER STEERING RACK (LHD)NISSAN QASHQAI 2013 J11E(FROTISE),10,980,0
1016564,POWER STEERING RACK ASSY (LHD) MAZDA CX-7 (FROTISE),18,2950,0
1019159,POWER STEERING RACK (LHD)FORD EXPLORER 2007(FROTISE),4,3630,0
1019162,POWER STEERING RACK (LHD)MAZDA 2012 CX-5 (FROTISE),14,1265,0
1019163,POWER STEERING RACK (LHD)FORD EDGE 2007(FROTISE),3,2600,0
1020846,POWER STEERING RACK TUNDRA/SEQUOIA 2012 UCK50 (LHD)(FROTISE),17,3100,0
1017171,POWER STEERING RACK (LHD)L200 2WD (FROTIS),0,700,0
1017172,POWER STEERING RACK (LHD)IX35/TUCSON/SPORTAGE 2009 £¨FROTIS),46,1550,0
1017174,POWER STEERING RACK ASSY (LHD) CR-V 2007 RE7 (FROTISE),40,1500,1500
1017387,POWER STEERING RACK ASSY (LHD) L200 2015 KK4T(FROTISE),9,2900,0
1019386,POWER STEERING RACK CORLLA 2009 (AMERICA TYPE) (LHD),41,730,0
1011931,POWER STEERING RACK ASSY CAMRY 2007 ACV40 (LHD) (FROTIS),15,1350,0
1011932,POWER STEERING RACK ASSY HILUX VIGO 2WD KUN15 (LHD) (FROTIS),3,1550,0
1011933,POWER STEERING RACK ASSY HILUX VIGO 4WD KUN25 (LHD) (FROTIS),125,1450,0
1011934,POWER STEERING RACK HIACE 2005 STANBIC 2WD KDH200 (LHD)(FROTISE),10,1750,0
1011935,POWER STEERING RACK PRADO 2004 KZJ120 (LHD)(FROTISE),20,1880,0
1011936,POWER STEERING RACK RAV4 2004 ACA21 (LHD)(FROTISE),0,1550,0
1011937,POWER STEERING RACK LAND CRUISER 2000 HDJ100 (METAL BUSH) (LHD)(FROTISE),5,1980,0
1011938,POWER STEERING RACK PRADO 2009 KDJ150/4RUNNER 2009 (LHD)(FROTIS),94,1500,0
1011939,POWER STEERING RACK SIENNA 1998 MCL10 (LHD)(FROTIS),0,750,0
1011940,POWER STEERING RACK TUNDRA/SEQUOIA 2004 UCK30/40 (LHD)(FROTISE),6,2400,0
1011941,POWER STEERING RACK CAMRY 2002 ACV30 (LHD) (FROTIS),8,1550,0
1011942,POWER STEERING RACK PRADO 1996 KZJ95 (LHD)(FROTISE),15,1650,0
1011943,POWER STEERING RACK ASSY RAV4 1998 SXA11 (LHD)(FROTIS),0,520,0
1011944,POWER STEERING RACK LAND CRUISER 2000 HDJ100 (RUBBER BUSH) (LHD)(FROTISE),5,1980,0
1011945,POWER STEERING RACK COROLLA S ZZE130 (LHD) (FROTIS),0,770,0
1011946,POWER STEERING RACK RAV4 2008 ACA33 (LHD) (FROTISE),0,880,0
1011947,POWER STEERING RACK NISSAN VERSA/TIIDA C11 (LHD) (FROTIS),0,920,0
1011948,POWER STEERING RACK NISSAN QASHQAI 2007 J10E (LHD)(FROTIS),0,920,0
1011949,POWER STEERING RACK NISSAN ALMERA/SENTRA/SUNNY B15 (LHD) (FROTIS),30,1450,0
1011950,POWER STEERING RACK NISSAN MURANO 2002 Z50 (LHD) (FROTIS),3,1980,0
1011951,POWER STEERING RACK NISSAN CARAVAN TD NEW MODEL E25 (LHD)(FROTIS),10,2100,0
1011952,POWER STEERING RACK HONDA ACCORD 2008 CU2 (LHD)(FROTIS),16,1980,0
1011953,POWER STEERING RACK ASSY TUCSON/SPORTAGE 2004 (LHD)(FROTIS),15,1450,0
1011954,POWER STEERING RACK SANTA FE 2000/2006 (LHD) (FROTIS),56,1400,1350
1013714,POWER STEERING RACK (LHD) NISSAN PATHINDER 2000 R50 (FROTIS),2,1550,0
1013716,POWER STEERING RACK (LHD) PAJERO 2002 V73(FROTIS),22,1500,1600
1013742,POWER STEERING RACK (LHD) GRAND VITARA 2005 JB416/JB420 (FROTISE),10,2400,0
1013743,POWER STEERING RACK ASSY (LHD) TACOMA 2004 GRN245 (FROTISE),27,1600,0
1010785,POWER STEERING RACK NISSAN NAVARA 2005 D40T (LHD) FROTIS,19,1900,0
1013330,POWER STEERING RACK L200 2005 4WD KB4T(LHD) (FROTISE),6,1500,0
1013331,POWER STEERING RACK (LHD)LAND CRUISER 2010 VDJ200 (FROTIS),74,3100,2500
1013332,POWER STEERING RACK (LHD)NAVARA 2005 D40T (FROTIS),0,900,0
1029372,POWER STEERING RACK (LHD)DODGE CALIBER/COMPASS (FROTISE),48,1990,1700
1029373,POWER STEERING RACK ASSY (LHD) SPECTRA 2007 (FROTISE),49,1550,1300
1030056,POWER STEERING RACK ASSY (LHD) SANTA FE 2009 2.4(FROTISE),95,1550,1300
1029397,POWER STEERING RACK ASSY (LHD) ELANTRA 2002 (FROTISE),40,1350,0
1029398,POWER STEERING RACK (LHD) NISSAN SENTRA B15 (FROTISE),137,1450,1200
1029399,POWER STEERING RACK ASSY (LHD) NISSAN ALTIMA 2.5 L31(FROTISE),49,1650,1450
1029400,POWER STEERING RACK ASSY (LHD) NISSAN SENTRA B14 (FROTISE),100,1450,1250
1029401,POWER STEERING RACK ASSY (LHD)NISSAN TD OLD MODEL E24(FROTISE),100,1650,1450
1029402,POWER STEERING RACK (LHD)MATIZ 3 (FROTISE),98,1650,1450
1029403,POWER STEERING RACK (LHD)DAEWOO KALOS (FROTISE),96,1250,1050
1029404,POWER STEERING RACK (LHD)ECHO 2000 SCP10 (FROTISE),41,1380,1200
1029405,POWER STEERING RACK (LHD)(MANUAL)ECHO 2000 SCP10 (FROTISE),73,650,0
1029406,POWER STEERING RACK ASSY (LHD) AUDI Q7 (FROTISE),2,2900,0
1029407,POWER STEERING RACK (LHD)BENZ C250/C300  2007-2014 W204(FROTISE),47,4200,3600
1029413,POWER STEERING RACK (LHD) BENZ C250/C300  2007-2014 W204 4MATIC (FROTISE),47,5000,4500
1029416,POWER STEERING RACK (LHD) HYUNDAI ACCENT 2006 (FROTISE),10,1300,0
1029417,POWER STEERING RACK ASSY (LHD)NISSAN MURANO 2015 Z52(FROTISE),0,2700,0
1029572,POWER STEERING RACK ASSY (LHD) ATOS 3(FROTISE),196,1550,1300
1029573,POWER STEERING RACK (LHD) HYUNDAI GETZ (FROTISE),95,1550,1300
1030487,POWER STEERING RACK ASSY (LHD) HILUX REVO 2015 4WD(FROTISE),94,1850,0
1030489,POWER STEERING RACK ASSY (LHD) COROLLA S ZZE130 (CORRECT)(FROTISE),0,1250,0
1029973,POWER STEERING RACK (LHD)OUTLANDER 2013 GF7W (FROTIS),0,980,0
1029974,POWER STEERING RACK ASSY (LHD) YARIS 2013 KSP130(FROTISE),2,750,0
1029975,POWER STEERING RACK NISSAN QASHQAI 2007 J10E/ROGUE 2008 (LHD)(FROTIS),69,800,0
1028960,POWER STEERING RACK (LHD) MITSUBISHI MIRAGE 2014 (FROTISE),3,1000,0
1028962,POWER STEERING RACK (LHD) HYUNDAI CRETA 2015 (FROTISE),28,1450,1250
1028976,POWER STEERING RACK ASSY (LHD) COROLLA S ZZE130 (CORRECT)(FROTISE),0,1250,0
1028977,POWER STEERING RACK (LHD) NISSAN PATROL Y62 (HYDRAULIC) (FROTISE),15,3100,0
1023779,POWER STEERING RACK ASSY (LHD) PICANTO 2011(FROTISE),5,800,0
1023794,POWER STEERING RACK ASSY MARCH 2011 K13/VERSA 2013 N17(LHD)(FROTISE),11,990,0
1023799,POWER STEERING RACK ASSY D-MAX 2012 TFR86 2WD(LHD)  (FROTISE),5,1700,0
1023800,POWER STEERING RACK ASSY D-MAX 2012 TFR86 4WD(LHD)  (FROTISE),10,1980,0
1028978,POWER STEERING RACK (LHD) YARIS IA 2017 (FROTISE),0,1050,0
1028979,POWER STEERING RACK (LHD) RUSH 2017 F800 (FROTISE),16,1100,0
1028981,POWER STEERING RACK (LHD) NISSAN ALTIMA 3.5 L32 (FROTISE),18,2500,0
1028982,POWER STEERING RACK (LHD) INFINITI FX35 2010 (FROTISE),9,2400,0
1028987,POWER STEERING RACK (LHD) HYUNDAI H-1 2008  (FROTISE),35,1800,0
1028988,POWER STEERING RACK (LHD) HYUNDAI STAREX H200 (FROTISE),38,1550,0
1028989,POWER STEERING RACK (LHD) HONDA HONDA HRV 2015 RU1 (FROTISE),4,1050,0
1028990,POWER STEERING RACK LHD(ELECTRICAL) HONDA CIVIC 2018 FC1 (FROTISE),0,3200,0
1028991,POWER STEERING RACK (LHD) HONDA CIVIC 2013 (ELECTRICAL) (FROTISE),0,4700,0
1028992,POWER STEERING RACK (LHD) HONDA ACCORD 2014 (ELECTRICAL) (FROTISE),0,4900,0
1028993,POWER STEERING RACK (LHD) HONDA ACCORD 2018 (ELECTRICAL) (FROTISE),0,7000,0
1028994,POWER STEERING RACK (LHD) SSANGYONG REXTON 2009(FROTISE),5,2300,0
1028995,POWER STEERING RACK (LHD) SORENTO 2005 £¨FROTIS),10,2000,0
1028996,POWER STEERING RACK (LHD) KIA K2700/BONGO 3 (FROTISE),70,1550,1350
1028553,POWER STEERING RACK ASSY CAMRY 2020 ASV70  (LHD) (FROTISE),2,9500,0
1028554,POWER STEERING RACK ASSY COROLLA 2020 ZWE210  (LHD) (FROTISE),0,1200,0
1028555,POWER STEERING RACK ASSY RAV4 2020 AXAA54 (LHD) (FROTISE),16,7500,0
1029105,POWER STEERING RACK (LHD) F-150 2020(ELECTRICAL) (FROTISE),1,18000,0
1029106,POWER STEERING RACK (LHD) FORD EXPLORER 2018 (ELECTRICAL) (FROTISE),2,15000,0
1024816,POWER STEERING RACK (LHD) FORD EXPLORE 2013 (ELECTRICAL) (FROTISE),0,9500,0
1024857,POWER STEERING RACK ASSY TUCSON 2017 2WD LHD(FROTISE),5,1000,0
1025172,POWER STEERING RACK (LHD) RENAULT DUSTER 2010 (FROTISE),3,1850,0
1027511,POWER STEERING RACK ASSY (LHD) F-150 2010 (FROTISE),2,2600,0
1027512,POWER STEERING RACK ASSY (LHD)ACCENT 2017/RIO 2017 (FROTISE),0,1050,0
1027513,POWER STEERING RACK ASSY (LHD)IX35 2020 (FROTISE),2,1100,0
1027514,POWER STEERING RACK ASSY SORENTO 2015 LHD(GEAR TYPE)(FROTISE),13,1250,0
1027515,POWER STEERING RACK ASSY SORENTO 2010 LHD(FROTISE),15,1600,0
1027516,POWER STEERING RACK ASSY (LHD)SORENTO 2014 (FROTISE),25,1980,1700
1027517,POWER STEERING RACK ASSY COROLLA 2019 ZRE212 LHD(FROTISE),20,990,800
1027518,POWER STEERING RACK ASSY ACCENT 2012 LHD(FROTISE),0,780,0
1028760,POWER STEERING RACK YARIS 2005 NCP90 (LHD)(FROTISE),2040,560,0
1028761,POWER STEERING RACK ASSY (LHD) HIACE 1995 LH113 (FROTISE),35,1300,0
1028762,POWER STEERING RACK RAV4 2008 ACA33 (LHD) (FROTISE),148,800,0
1028763,POWER STEERING RACK ASSY (LHD) HIGHLANDER 2008 GSU45 (FROTISE),79,990,0
1028764,POWER STEERING RACK ASSY(LHD)PASSO KGC10(FROTISE),17,800,0
1028784,POWER STEERING RACK (LHD) HYUNDAI GRACE H100 (FROTISE),95,1350,0
1026295,POWER STEERING RACK ASSY COROLLA 2014 ZRE172 LHD FROTISE,85,800,0
1026296,POWER STEERING RACK ASSY NAVARA D23 LHD (FROTISE),0,1980,0
1026299,POWER STEERING RACK ASSY TUCSON 2017 4WD LHD(FROTISE),0,1100,0
1028224,POWER STEERING RACK ASSY HYUNDAI CRETA 2015 (LHD)(FROTISE),18,1250,0
1027134,POWER STEERING RACK ASSY (LHD) YARIS 2013 KSP130(FROTISE),0,990,0
1027135,POWER STEERING RACK ASSY CAMRY 2012 ACV50(FROTISE),118,890,0
1027136,POWER STEERING RACK ASSY (LHD) PICANTO 2004/I10 2007 (FROTISE),179,700,0
1027137,POWER STEERING RACK ASSY (LHD) SENTRA B17 (FROTISE),6,880,0
1027138,POWER STEERING RACK ASSY (LHD) PATROL 2010 Y62 (ELECTRIC) (FROTISE),46,5200,4600
1027139,POWER STEERING RACK ASSY (LHD) PILOT 2009 YF4 (FROTISE),15,2200,0
1027140,POWER STEERING RACK ASSY (LHD) ESCAPE  2008 (FROTISE),14,1250,0
1027141,POWER STEERING RACK ASSY (LHD) ELANTRA 2012 (FROTISE),0,800,0
1027142,POWER STEERING RACK ASSY (LHD) ELANTRA 2017(FROTISE),0,1150,0
1027143,POWER STEERING RACK ASSY (LHD) HYUNDAI SONATA 2013 (FROTISE),1,1200,0
1027144,POWER STEERING RACK ASSY (LHD) SONATA 2016 (FROTISE),10,1045,0
1027145,POWER STEERING RACK ASSY (LHD) HYUNDAI I10 2013(FROTISE),47,880,0
1028950,POWER STEERING RACK (LHD) COROLLA 2002 AE110  (FROTISE),12,1300,0
1028951,POWER STEERING RACK (LHD) CAMRY 1998 SXV20 (FROTISE),54,1350,1200
1028952,POWER STEERING RACK (LHD) (ELECTRONIC )HIGHLANDER 2020 GSU75 (FROTISE),2,9900,0
1028953,POWER STEERING RACK ASSY LHD NISSAN SENTRA B16 (FROTISE),21,990,0
1028954,POWER STEERING RACK (LHD) HONDA CRV 2013 RM4 (ELECTRICAL) (FROTISE),3,6800,0
1028956,POWER STEERING RACK (LHD) (ELECTRICAL) HONDA CRV 2017 RW4 (FROTISE),0,4900,0
1028958,POWER STEERING RACK (LHD) PAJERO 2008 V97 (FROTISE),32,1500,0
